set|date|setID
2016 Mega-Tins|2016-09-01|3303
Demo Deck 2016|2016-01-14|3318
Destiny Soldiers|2016-11-17|3321
Duelist Pack: Rivals of the Pharaoh|2016-09-15|3361
Dragons of Legend: Unleashed|2016-08-18|3369
Invasion: Vengeance|2016-11-03|3443
WSJ Jump Pack Fall 2016 promotional card|2016-07-01|3449
Weekly Shonen Jump April 2016 membership promotional card|2016-04-20|3459
Legendary Decks II|2016-10-06|3485
Millennium Pack|2016-04-14|3514
2016 Mega-Tin Mega Pack|2016-09-01|3520
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack|2016-07-21|3527
OTS Tournament Pack 1|2016-03-18|3537
OTS Tournament Pack 2|2016-07-15|3538
OTS Tournament Pack 3|2016-11-17|3539
Premium Gold: Infinite Gold|2016-03-17|3560
Structure Deck: Seto Kaiba|2016-10-20|3618
Structure Deck: Yugi Muto|2016-10-20|3624
Shining Victories|2016-05-05|3646
Emperor of Darkness Structure Deck|2016-01-28|3667
Rise of the True Dragons Structure Deck|2016-07-07|3668
The Dark Illusion|2016-08-04|3690
Wing Raiders|2016-02-11|3736
Yu-Gi-Oh! Championship Series 2016 Prize Card|2016-08-28|3752
Yu-Gi-Oh! 5D's Volume 9 promotional card|2016-04-05|3770
Starter Deck: Yuya|2016-05-26|3791
Yu-Gi-Oh! ZEXAL Volume 8 promotional card|2016-03-01|3808
Yu-Gi-Oh! ZEXAL Volume 9 promotional card|2016-09-06|3809
Astral Pack Seven|2015-06-04|3256
Astral Pack Eight|2015-10-23|3257
Clash of Rebellions|2015-08-06|3277
Crossed Souls|2015-05-14|3288
2015 Mega-Tins|2015-09-17|3302
Demo Deck 2015|2015-03-30|3317
Dimension of Chaos|2015-11-05|3340
Duelist Pack: Battle City|2015-06-19|3354
Dragons of Legend 2|2015-07-16|3368
High-Speed Riders|2015-10-01|3440
Weekly Shonen Jump April 2015 membership promotional card|2015-05-07|3456
2015 Mega-Tin Mega Pack|2015-09-17|3519
Premium Gold: Return of the Bling|2015-03-19|3559
HERO Strike Structure Deck|2015-01-29|3615
Master of Pendulum Structure Deck|2015-12-03|3623
Synchron Extreme Structure Deck|2015-08-27|3635
Secrets of Eternity|2015-01-15|3642
Star Pack ARC-V|2015-06-12|3662
The Secret Forces|2015-02-12|3694
World Superstars|2015-04-16|3739
Yu-Gi-Oh! Championship Series 2015 Prize Card|2015-08-30|3749
Yu-Gi-Oh! 5D's Volume 7 promotional card|2015-03-03|3768
Yu-Gi-Oh! 5D's volume 8 promotional card|2015-10-06|3769
Yugi's Legendary Decks|2015-11-12|3780
2-Player Starter Deck: Yuya & Declan|2015-05-28|3790
Yu-Gi-Oh! ZEXAL Volume 6 promotional card|2015-02-03|3806
Yu-Gi-Oh! ZEXAL Volume 7 promotional card|2015-09-01|3807
Astral Pack Four|2014-02-07|3253
Astral Pack Five|2014-07-25|3254
Astral Pack Six|2014-12-05|3255
Battle Pack 3: Monster League|2014-07-31|3268
War of the Giants: Round 2|2014-01-17|3271
2014 Mega-Tins|2014-08-28|3301
Duelist League 18 participation cards|2014-06-27|3331
Dragons of Legend|2014-04-25|3370
Duelist Alliance|2014-08-14|3382
Fire Fists: Special Edition|2014-04-04|3398
Weekly Shonen Jump August 2014 membership promotional card|2014-08-18|3458
Legendary Collection 5D's|2014-10-23|3478
Legendary Collection 5D's Mega Pack|2014-10-23|3480
Legacy of the Valiant|2014-01-24|3504
2014 Mega-Tin Mega Pack|2014-08-28|3518
The New Challengers|2014-11-06|3533
Noble Knights of the Round Table Box Set|2014-11-20|3534
Premium Gold|2014-03-28|3561
Primal Origin|2014-05-16|3568
Cyber Dragon Revolution Structure Deck|2014-02-06|3607
Geargia Rampage Structure Deck|2014-10-16|3613
Realm of Light Structure Deck|2014-06-27|3619
Star Pack 2014|2014-02-21|3661
War of the Giants Reinforcements|2014-01-17|3735
Yu-Gi-Oh! Championship Series 2014 Prize Card|2014-09-07|3751
Yu-Gi-Oh! 5D's Volume 6 promotional card|2014-09-02|3767
Space-Time Showdown Power-Up Pack|2014-07-10|3789
Yu-Gi-Oh! ZEXAL Volume 4 promotional card|2014-01-07|3804
Yu-Gi-Oh! ZEXAL Volume 5 promotional card|2014-07-01|3805
Yu-Gi-Oh! ZEXAL World Duel Carnival promotional cards|2014-06-26|3810
Astral Pack Two|2013-04-19|3251
Astral Pack Three|2013-09-13|3252
Battle Pack 2: War of the Giants|2013-06-28|3267
Cosmo Blazer|2013-01-25|3272
Collectible Tins 2012 Wave 2.5|2013-01-18|3297
2013 Collectible Tins Wave 1|2013-08-30|3300
Duelist League 16 participation cards|2013-07-01|3329
Duelist League 17 participation cards|2013-12-13|3330
Duel Terminal 7b|2013-02-01|3377
Hidden Arsenal 7: Knight of Stars|2013-04-26|3429
Judgment of the Light|2013-08-09|3455
Weekly Shonen Jump December 2013 membership promotional card|2013-12-15|3457
Legendary Collection 4: Joey's World|2013-10-11|3477
Legendary Collection 4: Joey's World Mega Pack|2013-10-11|3482
Lord of the Tachyon Galaxy|2013-05-17|3503
Number Hunters|2013-07-12|3536
Saga of Blue-Eyes White Dragon Structure Deck|2013-09-13|3604
Onslaught of the Fire Kings Structure Deck|2013-02-08|3625
Shadow Specters|2013-11-08|3644
Star Pack 2013|2013-03-01|3660
Yu-Gi-Oh! Championship Series 2013 Prize Card|2013-09-01|3750
Yu-Gi-Oh! 5D's Volume 4 promotional card|2013-04-02|3765
Yu-Gi-Oh! 5D's Volume 5 promotional card|2013-11-05|3766
Super Starter Power-Up Pack|2013-06-14|3788
Starter Deck: Kaiba Reloaded|2013-12-06|3797
Starter Deck: Yugi Reloaded|2013-12-06|3798
Yu-Gi-Oh! ZEXAL Volume 3 promotional card|2013-06-04|3803
Zexal Collection Tin|2013-03-07|3811
Abyss Rising|2012-11-09|3246
Astral Pack One|2012-11-23|3250
Battle Pack Tournament Prize Cards|2012-05-29|3259
Battle Pack: Epic Dawn|2012-05-24|3266
Collectible Tins 2012 Wave 1|2012-08-10|3298
Duelist League 14 participation cards|2012-06-01|3327
Duelist League 15 participation cards|2012-12-15|3328
Duel Terminal 6a|2012-02-03|3376
Duel Terminal 7a|2012-09-28|3378
Galactic Overlord|2012-05-08|3405
Gold Series: Haunted Mine|2012-06-07|3413
Hidden Arsenal 5: Steelswarm Invasion: Special Edition|2012-03-30|3422
Hidden Arsenal 6: Omega Xyz|2012-07-24|3428
Shonen Jump Vol. 10, Issue 1 promotional card|2012-01-01|3463
Legendary Collection 3: Yugi's World|2012-09-27|3476
Legendary Collection 3: Yugi's World Mega Pack|2012-09-29|3484
Order of Chaos|2012-01-20|3553
Premium Collection Tin|2012-03-16|3567
Return of the Duelist|2012-08-24|3577
Ra Yellow Mega Pack|2012-02-17|3585
Dragons Collide Structure Deck|2012-02-03|3609
Realm of the Sea Emperor Structure Deck|2012-10-11|3629
Samurai Warlords Structure Deck|2012-06-21|3637
Turbo Pack: Booster Seven|2012-01-01|3715
Turbo Pack: Booster Eight|2012-06-01|3716
Yu-Gi-Oh! Championship Series 2012 Prize Card|2012-09-01|3757
Yu-Gi-Oh! 5D's Volume 2 promotional card|2012-02-07|3763
Yu-Gi-Oh! 5D's Volume 3 promotional card|2012-10-02|3764
Yu-Gi-Oh! GX Volume 8 promotional card|2012-01-03|3778
Starter Deck: Xyz Symphony|2012-04-13|3787
Yu-Gi-Oh! ZEXAL Volume 1 promotional card|2012-06-05|3801
Yu-Gi-Oh! ZEXAL Volume 2 promotional card|2012-12-04|3802
