set|date|setID
EX Trainer Kit Latios|2004-06-01|5078
EX Trainer Kit 2 Plusle|2006-03-01|5079
EX Trainer Kit 2 Minun|2006-03-01|5080
Best of Game|2002-12-01|966
Nintendo Promos|2003-01-14|967
Expedition|2002-09-15|981
Aquapolis|2003-01-15|982
Skyridge|2003-05-12|983
Legendary Collection|2002-05-01|980
Neo Genesis|2000-12-16|975
Neo Discovery|2001-06-01|976
Southern Islands|2001-07-31|977
Neo Revelation|2001-09-21|978
Neo Destiny|2002-02-28|979
Gym Heroes|2000-08-14|973
Gym Challenge|2000-10-16|974
Pokemon TCG: WoTC Promo|1999-07-01|965
Pokemon TCG: Base Set|1999-01-09|968
Pokemon TCG: Jungle|1999-06-16|969
Pokemon TCG: Fossil|1999-10-01|970
Pokemon TCG: Base Set 2|2000-02-24|971
Pokemon TCG: Team Rocket|2000-04-24|972
POP Series 1|2004-09-01|1128
POP Series 2|2005-08-01|1129
POP Series 3|2006-04-01|1130
POP Series 4|2006-08-01|1131
POP Series 5|2007-03-01|1132
POP Series 6|2007-09-01|1133
POP Series 7|2008-03-01|1134
POP Series 8|2008-09-01|1135
POP Series 9|2009-03-01|1759
McDonald's Collection (2011)|2011-06-17|1764
McDonald's Collection (2012)|2012-06-15|1765
McDonald's Collection (2013)|2013-11-01|1766
McDonald's Collection (2014)|2014-05-23|1769
McDonald's Collection (2015)|2015-11-27|1770
McDonald's Collection (2016)|2016-08-20|1771
McDonald's Collection (2017)|2017-08-03|1775
McDonald's Collection (2018)|2018-10-19|1776
McDonald's Collection (2019)|2019-10-15|1784
McDonald's Collection 2021|2021-02-09|4770
McDonald's Collection 2022|2022-08-03|5285
Poké Card Creator Pack|2004-07-01|2190
Pokemon TCG: Box Toppers|2002-05-24|2191
Pokemon TCG: Unnumbered Promos|1996-10-01|2192
Best of Game|2002-12-01|4835
Pokémon Futsal Collection|2020-09-11|4924
Nintendo Black Star Promos|2003-10-01|3064
Scarlet & Violet|2023-03-31|5307
Scarlet & Violet Black Star Promos|2023-01-01|5308
Paldea Evolved|2023-06-09|5317
Scarlet & Violet Energies|2023-03-31|5319
Obsidian Flames|2023-08-11|5324
151|2023-09-22|5330
Paradox Rift|2023-11-03|5335
Paldean Fates|2024-01-26|5342
Temporal Forces|2024-03-22|5361
Twilight Masquerade|2024-05-24|5365
Shrouded Fable|2024-08-02|5369
Stellar Crown|2024-09-13|5372
