name|id|rarity|imgURL|setID|game|set|date
Colonel Green|292603|10|https://api.ccgtrader.co.uk/uploads/_/originals/d30d2d5a-c6e6-4645-826e-6f5e2c5fbd2e.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Commodore Jose Mendez|292628|34|https://api.ccgtrader.co.uk/uploads/_/originals/9855ec08-99fe-4a8f-ae57-f1526d52c25f.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Commodore Stone|292646|20|https://api.ccgtrader.co.uk/uploads/_/originals/2a79fe79-39de-401c-9ecc-96832c140e0c.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Decius|292588|10|https://api.ccgtrader.co.uk/uploads/_/originals/379db5ae-89dc-4e65-8d47-1debc86cd53e.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Denevan Neural Parasites|292589|30|https://api.ccgtrader.co.uk/uploads/_/originals/c50371d6-6067-4c6f-a32e-0d6f78c59160.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Dikironium Cloud Creature|292590|34|https://api.ccgtrader.co.uk/uploads/_/originals/365aad00-a0f9-4f50-8140-0e63874358d4.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Don Juan|292591|10|https://api.ccgtrader.co.uk/uploads/_/originals/9131d893-e237-4976-9e43-6e1ecf65626c.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Dr. Brown|292584|10|https://api.ccgtrader.co.uk/uploads/_/originals/af6a911e-fa1d-4d79-92be-7e504964888e.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Dr. Elizabeth Dehner (challenge)|292593|34|https://api.ccgtrader.co.uk/uploads/_/originals/5081ab58-de3f-4ba7-b429-f2653ab86be7.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Dr. Roger Korby|292594|30|https://api.ccgtrader.co.uk/uploads/_/originals/18ab4d98-b4a0-4e37-9aec-910faba690dd.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Dr. Simon Van Gelder|292595|10|https://api.ccgtrader.co.uk/uploads/_/originals/0acadaa8-1d1b-4ad0-8f9d-3e5f01d46348.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Dr. Tristan Adams|292592|20|https://api.ccgtrader.co.uk/uploads/_/originals/81556b0f-a06e-4914-8b3d-8a8881202213.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
